,Rumor.Source,Rumor.Label,accuracy,coverage,earlyBird,total_rumor,mean_marketvalue,mean_fee,mean_sentiment,mean_confidence,most_language
1,90min, Sport Website,0.074626866,0.029373082,79.28209541,67,32260869.57,32273529.41,1.663432836,0.537313433,english
2,arsenal, Club Specific Website,0.15,0.008768084,209.8847222,20,17666666.67,23333333.33,0.9975,0.875,english
3,as, Sport Website,0.1,0.013152126,56.95583333,30,19050000,20140000,1.09,0.633333333,english
4,bbc, Mainstream Media,0.196116505,0.225778167,49.2161643,515,16957269.5,25623484.04,1.168834951,0.677669903,english
5,birminghammail, Mainstream Media,0.057471264,0.038141166,51.62112884,87,10312765.96,18197200,1.566091954,0.557471264,english
6,bleacherreport, Sport Website,0,0.008768084,164.7725694,20,12333333.33,3.00E+07,1.6975,0.525,english
7,calciomercato, Sport Website,0.046511628,0.018851381,69.12891865,43,19169230.77,35075000,1.204651163,0.534883721,english
8,caughtoffside, Sport Website,0.047619048,0.027619465,76.00470328,63,20545454.55,22564375,2.364285714,0.492063492,english
9,chelseafc, Club Specific Website,0.305555556,0.015782552,131.6208333,36,15421052.63,25462500,0.840277778,0.902777778,english
10,chroniclelive, Mainstream Media,0.053191489,0.041209996,52.91426006,94,11350000,16811219.51,1.544680851,0.611702128,english
11,dailymail, Mainstream Media,0.115384615,0.182376151,51.31450921,416,17331321.84,21681565.22,1.416105769,0.554326923,english
12,dailyrecord, Mainstream Media,0.161290323,0.01359053,44.88696895,31,16194117.65,20773076.92,1.259677419,0.580645161,english
13,dailystar, Mainstream Media,0.031578947,0.0416484,83.90339782,95,22830357.14,27918500,1.168947368,0.547368421,english
14,espn, Sport Website,0.105263158,0.09995616,46.65480903,228,21866250,27689622.64,1.467982456,0.543859649,english
15,espnfc, Sport Website,0.12745098,0.044717229,66.60028935,102,14055000,22519117.65,1.41127451,0.615686275,english
16,express, Mainstream Media,0.118811881,0.08855765,46.96950152,202,21913194.44,27604166.67,1.190841584,0.559405941,english
17,expressandstar, Mainstream Media,0.107142857,0.012275318,37.69490741,28,8108333.333,13628000,1.494642857,0.607142857,english
18,football, Sport Website,0.098765432,0.035510741,49.4427399,81,22924242.42,25395217.39,1.178395062,0.549382716,english
19,football-italia, Sport Website,0.181818182,0.014467339,47.9515873,33,15485714.29,32396000,1.115151515,0.515151515,english
20,footballinsider247, Sport Website,0.108433735,0.036387549,50.9337229,83,17529268.29,23896000,1.39939759,0.608433735,english
21,footmercato, Sport Website,0.238095238,0.018412977,42.30353261,42,20304347.83,26585000,0.635714286,0.55952381,french
22,francefootball, Sport Website,0.038461538,0.011398509,57.99809028,26,14187500,14162500,0.625,0.5,french
23,fulhamfc, Club Specific Website,0.25,0.008768084,167.5565278,20,10280000,11700000,1.0125,0.85,english
24,gazzetta, Sport Website,0.111111111,0.011836914,97.22794118,27,18729411.76,25987500,0.9,0.537037037,italian
25,gianlucadimarzio, Social Media,0.222222222,0.035510741,73.03226273,81,18770833.33,25398214.29,1.359876543,0.592592593,english
26,goal, Sport Website,0.141414141,0.043402017,52.9819697,99,24260909.09,31644047.62,1.653535354,0.585858586,english
27,guardian, Mainstream Media,0.173553719,0.053046909,42.66933594,121,15023437.5,19056521.74,1.618595041,0.615702479,english
28,hitc, Sport Website,0.125,0.017536168,39.35520833,40,10418750,19330000,1.43375,0.575,english
29,independent, Mainstream Media,0.095541401,0.068829461,72.33756313,157,21065151.52,26505090.91,1.103821656,0.595541401,english
30,instagram, Social Media,0.179487179,0.017097764,30.14835526,39,25052631.58,32116923.08,0.976923077,0.551282051,english
31,kicker, Sport Website,0.216216216,0.016220956,85.73926505,37,17687500,24379333.33,0.562162162,0.540540541,german
32,leicestermercury, Mainstream Media,0.189655172,0.025427444,72.63707265,58,16865384.62,26250000,1.075,0.594827586,english
33,lequipe, Sport Website,0.145454545,0.072336694,45.22514045,165,11184482.76,17245849.06,0.525454545,0.623030303,french
34,liverpoolecho, Mainstream Media,0.246478873,0.062253398,50.02034557,142,16991071.43,24128333.33,1.470070423,0.563380282,english
35,liverpoolfc, Club Specific Website,0.454545455,0.019289785,52.13204733,44,15685185.19,23030526.32,1.777272727,0.704545455,english
36,manchestereveningnews, Mainstream Media,0.026666667,0.065760631,59.81426768,150,25649218.75,37721568.63,1.438666667,0.563333333,english
37,manutd, Club Specific Website,0.043478261,0.010083297,73.62505787,23,13366666.67,25557142.86,2.082608696,0.782608696,english
38,marca, Mainstream Media,0.108433735,0.036387549,70.27535842,83,22548387.1,24631250,1.462650602,0.581927711,english
39,metro, Sport Website,0.047297297,0.064883823,70.64044192,148,20192592.59,22322093.02,1.549662162,0.557432432,english
40,mirror, Mainstream Media,0.093915344,0.331433582,65.42080242,756,17514532.87,22550669.86,1.353240741,0.57010582,english
41,mirrorfootball, Sport Website,0.04,0.032880316,43.48335573,75,8516129.032,11310000,1.820666667,0.550666667,english
42,mozzartsport, Sport Website,0.038461538,0.022797019,24.30690789,52,9236842.105,16730769.23,1.1875,0.538461538,english
43,mundodeportivo, Mainstream Media,0.0625,0.014028935,81.89274691,32,12222222.22,7820000,0.4828125,0.571875,spanish
44,nytimes, Mainstream Media,0.181818182,0.014467339,30.11612103,33,23892857.14,25850000,1.684848485,0.53030303,english
45,obsproject, Other,0.28,0.010960105,54.10284091,25,13818181.82,25992857.14,1.652,0.6,english
46,rdrr, Sport Website,0.041666667,0.010521701,69.13097994,24,7211111.111,14479166.67,1.55,0.5,english
47,rmcsport, Sport Website,0.132352941,0.029811486,31.34362208,68,17539473.68,26200000,0.726470588,0.588235294,french
48,skysports, Mainstream Media,0.181885397,1.185883384,50.03235343,2705,14434539.7,20873663.75,1.221866913,0.620850277,english
49,source, Other,0.16,0.010960105,55.61689815,25,31600000,27600000,1.162,0.7,english
50,sourceoutdoor, Other,0.171428571,0.015344147,61.69228395,35,3.30E+07,39833333.33,1.275714286,0.585714286,english
51,sourcethesunsolar, Other,0.016666667,0.026304253,70.37910354,60,2.00E+07,30508333.33,1.4175,0.5,english
52,sport, Sport Website,0.078431373,0.022358615,60.17822222,51,22739130.43,22210526.32,0.823529412,0.519607843,english
53,sports, Sport Website,0.045454545,0.009644893,29.52694444,22,24640000,29250000,0.675,0.477272727,russian
54,sportske, Sport Website,0.038461538,0.011398509,75.30720486,26,12437500,25907142.86,1.944230769,0.538461538,english
55,sportsmole, Sport Website,0.090909091,0.009644893,31.54104167,22,11900000,20041666.67,1.147727273,0.545454545,english
56,sportwitness, Sport Website,0.076923077,0.017097764,121.3816774,39,24615384.62,24512500,1.902564103,0.512820513,english
57,standard, Mainstream Media,0.140401146,0.153003069,62.12725082,349,17015976.33,23320458.02,1.444555874,0.583094556,english
58,stokesentinel, Mainstream Media,0.095238095,0.009206488,65.14763889,21,7200000,7100000,1.30952381,0.5,english
59,sunderlandecho, Mainstream Media,0.117647059,0.014905743,90.6896149,34,8659090.909,13677272.73,1.397058824,0.602941176,english
60,talksport, Mainstream Media,0.07518797,0.05830776,70.20762603,133,14229807.69,18376111.11,1.696240602,0.578947368,english
61,teamtalk, Sport Website,0.051282051,0.017097764,65.20086806,39,16500000,17392500,1.41025641,0.551282051,english
62,telegraph, Mainstream Media,0.156089194,0.255589654,43.95522119,583,18357770.27,24485321.1,1.313036021,0.589022298,english
63,theathletic, Sport Website,0.264150943,0.069706269,32.79017296,159,21133018.87,30750119.05,1.459748428,0.580188679,english
64,theguardian, Mainstream Media,0.209829868,0.231915826,41.98209272,529,22539821.43,32070049.02,1.489224953,0.628544423,english
65,thenorthernecho, Mainstream Media,0.2,0.008768084,30.04401709,20,11192307.69,16242857.14,2.3375,0.575,english
66,thesun, Mainstream Media,0.141304348,0.040333187,44.58158875,92,17576829.27,26978888.89,0.971195652,0.557608696,english
67,thetimes, Mainstream Media,0.12,0.043840421,67.64735243,100,25895833.33,37560810.81,1.5065,0.555,english
68,tottenhamhotspur, Club Specific Website,0.096774194,0.01359053,108.0291005,31,14095238.1,15514285.71,1.524193548,0.85483871,english
69,transfermarketweb, Sport Website,0.053571429,0.024550636,67.65524194,56,13677419.35,16490000,1.267857143,0.544642857,english
70,transfermarkt, Sport Website,0.175257732,0.085050416,69.62931217,194,13282380.95,21275370.37,1.176030928,0.68814433,english
71,tribalfootball, Sport Website,0.032258065,0.01359053,50.27238562,31,17323529.41,21883333.33,1.735483871,0.532258065,english
72,tuttomercatoweb, Sport Website,0.045454545,0.009644893,57.21647727,22,8727272.727,8041666.667,0.481818182,0.522727273,italian
73,twitter, Social Media,0.267657993,0.353792196,49.59775902,807,23258662.9,33938773.58,0.799008674,0.630421314,english
74,watfordobserver, Mainstream Media,0.304347826,0.010083297,60.56081349,23,6682142.857,10987500,0.92826087,0.673913043,english
75,whufc, Club Specific Website,0.034482759,0.012713722,106.4971491,29,8394736.842,16015000,1.762068966,0.982758621,english
76,wikipedia, Other,0.202739726,0.160017536,44.00096892,365,15763333.33,22507073.17,1.322465753,0.570410959,english
77,x, Social Media,0.411764706,0.044717229,28.53578767,102,33157534.25,33991333.33,0.928921569,0.62745098,english
78,youtube, Other,0.086956522,0.010083297,77.56938131,23,12063636.36,12900000,1.113043478,0.5,english
